Datetime,Open,High,Low,Close
2024-09-11 05:00:00+01:00,141.3939971923828,141.3979949951172,140.88699340820312,141.09100341796875
2024-09-11 06:00:00+01:00,141.08599853515625,141.29299926757812,140.70399475097656,141.2830047607422
2024-09-11 07:00:00+01:00,141.28199768066406,141.45199584960938,141.1439971923828,141.37399291992188
2024-09-11 08:00:00+01:00,141.37100219726562,141.54400634765625,141.1649932861328,141.38600158691406
2024-09-11 09:00:00+01:00,141.3820037841797,141.69900512695312,141.3280029296875,141.5279998779297
2024-09-11 10:00:00+01:00,141.53199768066406,141.57699584960938,141.28599548339844,141.5679931640625
2024-09-11 11:00:00+01:00,141.5709991455078,141.69400024414062,141.48399353027344,141.57000732421875
2024-09-11 12:00:00+01:00,141.5749969482422,141.82200622558594,141.49899291992188,141.68899536132812
2024-09-11 13:00:00+01:00,141.6840057373047,142.54600524902344,141.6840057373047,142.29200744628906
2024-09-11 14:00:00+01:00,142.29100036621094,142.4949951171875,141.7740020751953,141.81399536132812
2024-09-11 15:00:00+01:00,141.81500244140625,141.95599365234375,141.24400329589844,141.427001953125
2024-09-11 16:00:00+01:00,141.42999267578125,141.82000732421875,141.3769989013672,141.7220001220703
2024-09-11 17:00:00+01:00,141.7259979248047,142.03500366210938,141.72300720214844,141.94500732421875
2024-09-11 18:00:00+01:00,141.94400024414062,142.32400512695312,141.89199829101562,142.19900512695312
2024-09-11 19:00:00+01:00,142.2030029296875,142.25,142.08900451660156,142.19500732421875
2024-09-11 20:00:00+01:00,142.2010040283203,142.41099548339844,142.18800354003906,142.3730010986328
2024-09-11 21:00:00+01:00,142.3730010986328,142.45599365234375,142.33099365234375,142.3470001220703
2024-09-11 22:00:00+01:00,142.343994140625,142.343994140625,142.24099731445312,142.26600646972656
2024-09-11 23:00:00+01:00,142.27200317382812,142.47000122070312,142.2209930419922,142.4550018310547
2024-09-12 00:00:00+01:00,142.45700073242188,142.6739959716797,142.43699645996094,142.63600158691406
2024-09-12 01:00:00+01:00,142.63699340820312,142.94900512695312,142.60400390625,142.67799377441406
2024-09-12 02:00:00+01:00,142.6820068359375,142.70799255371094,142.25399780273438,142.54299926757812
2024-09-12 03:00:00+01:00,142.5399932861328,142.63299560546875,142.3419952392578,142.52499389648438
