epoch,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,val_loss,val_r2
0,9,,,,,0.03425920009613037,-26.034297943115234
0,9,0.037279415875673294,,-0.023816298693418503,,,
1,19,,,,,0.006008568685501814,-3.0071027278900146
1,19,0.0044233896769583225,,0.8700443506240845,,,
2,29,,,,,0.0015432446962222457,0.6390836834907532
2,29,0.0025570739526301622,,0.9278956651687622,,,
3,39,,,,,0.0028054076246917248,-0.24323809146881104
3,39,0.001475196098908782,,0.9569076299667358,,,
4,49,,0.0018308033468201756,,0.9521607160568237,,
4,49,,,,,0.004204744007438421,-1.7885770797729492
4,49,0.001134888851083815,,0.968621551990509,,,
5,59,,,,,0.0010416054865345359,0.5556656718254089
5,59,0.001206988119520247,,0.9655880928039551,,,
6,69,,,,,0.0007153124315664172,0.7529499530792236
6,69,0.000900756916962564,,0.9747862815856934,,,
7,79,,,,,0.0008440848905593157,0.6290118098258972
7,79,0.001047312980517745,,0.9700403213500977,,,
8,89,,,,,0.0012341438559815288,0.1530415117740631
8,89,0.0012991965049877763,,0.9631153345108032,,,
9,99,,0.001721484586596489,,0.9474372863769531,,
9,99,,,,,0.004292754456400871,-2.403066396713257
9,99,0.0009838485857471824,,0.9709796905517578,,,
10,109,,,,,0.010513877496123314,-6.845892906188965
10,109,0.002412531990557909,,0.9309549331665039,,,
11,119,,,,,0.0010547523852437735,0.24384497106075287
11,119,0.0016727211186662316,,0.9520883560180664,,,
12,129,,,,,0.0012937129940837622,0.1640511155128479
12,129,0.0009096951107494533,,0.9741985201835632,,,
13,139,,,,,0.0008159587159752846,0.7283233404159546
13,139,0.0015614001313224435,,0.9552191495895386,,,
14,149,,0.004921041429042816,,0.847989559173584,,
14,149,,,,,0.0005365760298445821,0.8181579113006592
14,149,0.0015018340200185776,,0.9550842046737671,,,
